Year,Player_Name,Matches_Played,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Half_Centuries,Fours,Sixes,Catches_Taken,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Four_Wicket_Hauls
2024,Ruturaj Gaikwad,2,0,61,46,30.5,51,119.61,0,8,1,0,0,0,0,0,0
2023,Ruturaj Gaikwad,16,1,590,92,42.14,400,147.5,4,46,30,17,0,0,0,0,0
2022,Ruturaj Gaikwad,14,0,368,99,26.29,291,126.46,3,33,14,4,0,0,0,0,0
2021,Ruturaj Gaikwad,16,2,635,101*,45.35,466,136.26,4,64,23,6,0,0,0,0,0
2020,Ruturaj Gaikwad,6,2,204,72,51,169,120.71,3,16,6,4,0,0,0,0,0
2023,Devon Conway,16,2,672,92*,51.69,481,139.71,6,77,18,6,0,0,0,0,0
2022,Devon Conway,7,1,252,87,42,173,145.66,3,22,12,2,0,0,0,0,0
2024,MS Dhoni,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,MS Dhoni,16,8,104,32*,26,57,182.46,0,3,10,7,0,0,0,0,0
2022,MS Dhoni,14,6,232,50*,33.14,188,123.4,1,21,10,9,0,0,0,0,0
2021,MS Dhoni,16,4,114,18*,16.28,107,106.54,0,12,3,13,0,0,0,0,0
2020,MS Dhoni,14,4,200,47*,25,172,116.27,0,16,7,15,0,0,0,0,0
2019,MS Dhoni,15,7,416,84*,83.2,309,134.62,3,22,23,11,0,0,0,0,0
2018,MS Dhoni,16,9,455,79*,75.83,302,150.66,3,24,30,11,0,0,0,0,0
2017,MS Dhoni,16,4,290,61*,26.36,250,116,1,15,16,10,0,0,0,0,0
2016,MS Dhoni,14,5,284,64*,40.57,210,135.23,1,18,14,8,0,0,0,0,0
2015,MS Dhoni,17,5,372,53,31,305,121.96,1,27,17,8,0,0,0,0,0
2014,MS Dhoni,16,10,371,57*,74.2,250,148.4,1,22,20,3,0,0,0,0,0
2013,MS Dhoni,18,5,461,67*,41.9,283,162.89,4,32,25,15,0,0,0,0,0
2012,MS Dhoni,19,5,358,51*,29.83,278,128.77,1,26,9,12,0,0,0,0,0
2011,MS Dhoni,16,4,392,70*,43.55,247,158.7,2,25,23,5,0,0,0,0,0
2010,MS Dhoni,13,2,287,66*,31.88,210,136.66,2,26,8,5,0,0,0,0,0
2009,MS Dhoni,14,5,332,58*,41.5,261,127.2,2,22,9,4,0,0,0,0,0
2008,MS Dhoni,16,4,414,65,41.4,310,133.54,2,38,15,6,0,0,0,0,0
2024,Ajinkya Rahane,2,0,39,27,19.5,31,125.81,0,0,2,0,0,0,0,0,0
2023,Ajinkya Rahane,14,1,326,71*,32.6,189,172.49,2,24,16,8,0,0,0,0,0
2022,Ajinkya Rahane,7,0,133,44,19,128,103.91,0,14,4,3,0,0,0,0,0
2021,Ajinkya Rahane,2,0,8,8,8,8,100,0,1,0,0,0,0,0,0,0
2020,Ajinkya Rahane,9,0,113,60,14.12,107,105.6,1,12,2,4,0,0,0,0,0
2019,Ajinkya Rahane,14,1,393,105*,32.75,285,137.89,1,45,9,5,0,0,0,0,0
2018,Ajinkya Rahane,15,1,370,65*,28.46,313,118.21,1,39,5,4,0,0,0,0,0
2017,Ajinkya Rahane,16,1,382,60,25.46,323,118.26,2,35,9,7,0,0,0,0,0
2016,Ajinkya Rahane,14,3,480,74,43.63,379,126.64,6,54,9,7,0,0,0,0,0
2015,Ajinkya Rahane,14,2,540,91*,49.09,413,130.75,4,53,13,3,0,0,0,0,0
2014,Ajinkya Rahane,13,0,339,72,28.25,291,116.49,3,38,3,6,0,0,0,0,0
2013,Ajinkya Rahane,18,4,488,68*,34.85,458,106.55,4,42,11,10,0,0,0,0,0
2012,Ajinkya Rahane,16,2,560,103*,40,433,129.33,3,73,10,11,0,0,0,0,0
2011,Ajinkya Rahane,10,1,120,52,20,98,122.44,1,12,2,1,0,0,0,0,0
2009,Ajinkya Rahane,8,1,144,62*,24,123,117.07,2,12,3,1,6,5,1,5,0
2008,Ajinkya Rahane,2,0,4,4,2,17,23.52,0,1,0,0,0,0,0,0,0
No stats,Shaik Rasheed,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Sameer Rizvi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No stats,Avanish Rao Aravelly,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Ravindra Jadeja,2,1,25,25*,0,17,147.06,0,0,1,0,24,21,0,0,0
2023,Ravindra Jadeja,16,4,190,25*,23.75,133,142.86,0,11,9,9,342,431,20,21.55,0
2022,Ravindra Jadeja,10,4,116,26*,19.33,98,118.37,0,6,5,7,198,248,5,49.6,0
2021,Ravindra Jadeja,16,9,227,62*,75.66,156,145.51,1,19,9,13,294,346,13,26.61,0
2020,Ravindra Jadeja,14,6,232,50,46.4,135,171.85,1,22,11,5,218,318,6,53,0
2019,Ravindra Jadeja,16,6,106,31*,35.33,88,120.45,0,7,4,9,324,343,15,22.86,0
2018,Ravindra Jadeja,16,5,89,27*,17.8,74,120.27,0,3,4,11,246,303,11,27.54,0
2017,Ravindra Jadeja,12,6,158,28,39.5,113,139.82,0,13,4,2,228,349,5,69.8,0
2016,Ravindra Jadeja,15,6,191,36*,21.22,178,107.3,0,14,4,4,241,311,8,38.87,0
2015,Ravindra Jadeja,17,5,132,24,18.85,126,104.76,0,7,3,13,256,330,11,30,1
2014,Ravindra Jadeja,16,5,146,36*,29.2,110,132.72,0,9,5,4,326,443,19,23.31,2
2013,Ravindra Jadeja,18,6,201,38*,25.12,135,148.88,0,17,6,6,259,323,13,24.84,0
2012,Ravindra Jadeja,19,2,191,48,15.91,151,126.49,0,13,9,2,210,273,12,22.75,0
2011,Ravindra Jadeja,14,3,283,47,31.44,228,124.12,0,20,14,1,252,305,8,38.12,0
2009,Ravindra Jadeja,13,2,295,42,26.81,266,110.9,0,21,6,4,140,151,6,25.16,0
2008,Ravindra Jadeja,14,2,135,36*,19.28,103,131.06,0,11,6,7,13,21,0,0,0
2023,Mitchell Santner,3,2,2,1*,0,4,50,0,0,0,1,72,81,3,27,0
2022,Mitchell Santner,6,2,22,11,11,27,81.48,0,3,0,2,114,130,4,32.5,0
2020,Mitchell Santner,2,0,0,0,0,0,0,0,0,0,1,42,53,2,26.5,0
2019,Mitchell Santner,4,1,32,22,32,23,139.13,0,0,3,1,84,94,4,23.5,0
2023,Moeen Ali,15,3,124,23,17.71,91,136.26,0,12,6,4,156,195,9,21.67,1
2022,Moeen Ali,10,0,244,93,24.4,177,137.85,1,24,11,5,143,158,8,19.75,0
2021,Moeen Ali,15,1,357,58,25.5,260,137.3,1,31,19,7,152,161,6,26.83,0
2020,Moeen Ali,3,0,12,11,4,16,75,0,1,0,1,30,42,1,42,0
2019,Moeen Ali,11,2,220,66,27.5,133,165.41,2,16,17,1,150,169,6,28.16,0
2018,Moeen Ali,5,0,77,65,19.25,46,167.39,1,4,6,2,79,97,3,32.33,0
2024,Shivam Dube,2,2,70,36*,0,42,166.67,0,5,5,0,0,0,0,0,0
2023,Shivam Dube,16,3,418,52,38,264,158.33,3,12,35,6,0,0,0,0,0
2022,Shivam Dube,11,1,289,95*,28.9,185,156.22,2,22,16,6,12,36,0,0,0
2021,Shivam Dube,9,1,230,64*,28.75,193,119.17,1,18,10,2,30,49,0,0,0
2020,Shivam Dube,11,2,129,27*,18.42,105,122.85,0,5,9,2,54,73,4,18.25,0
2019,Shivam Dube,4,1,40,24,13.33,33,121.21,0,1,3,1,10,8,0,0,0
No stats,Nishant Sindhu,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Ajay Mandal,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Rachin Ravindra,2,0,83,46,41.5,35,237.14,0,9,6,2,0,0,0,0,0
2023,Shardul Thakur,11,2,113,68,14.13,70,161.43,1,13,4,4,126,220,7,31.43,0
2022,Shardul Thakur,14,2,120,29*,15,87,137.93,0,7,7,7,290,473,15,31.53,1
2021,Shardul Thakur,16,2,5,3*,2.5,5,100,0,0,0,2,359,527,21,25.09,0
2020,Shardul Thakur,9,1,12,11,12,21,57.14,0,0,0,2,194,275,10,27.5,0
2019,Shardul Thakur,10,1,14,12*,7,7,200,0,1,1,5,180,281,8,35.12,0
2018,Shardul Thakur,13,1,15,15*,0,5,300,0,3,0,4,280,431,16,26.93,0
2017,Shardul Thakur,12,0,0,0*,0,3,0,0,0,0,4,229,315,11,28.63,0
2015,Shardul Thakur,1,1,7,7*,0,6,116.66,0,1,0,0,18,38,1,38,0
2024,Daryl Mitchell,2,1,30,22,30,26,115.38,0,1,2,0,0,0,0,0,0
2022,Daryl Mitchell,2,0,33,17,16.5,44,75,0,1,0,2,12,27,0,0,0
2023,Rajvardhan Hangargekar,2,0,0,0,0,0,0,0,0,0,0,36,60,3,20,0
2024,Deepak Chahar,2,0,0,0,0,0,0,0,0,0,0,24,37,1,37,0
2023,Deepak Chahar,10,1,1,1*,0,2,50,0,0,0,1,204,297,13,22.85,0
2021,Deepak Chahar,15,2,1,1*,0,1,100,0,0,0,5,324,451,14,32.21,2
2020,Deepak Chahar,14,2,7,5*,7,12,58.33,0,0,0,3,312,396,12,33,0
2019,Deepak Chahar,17,0,7,7,3.5,9,77.77,0,1,0,2,387,482,22,21.9,0
2018,Deepak Chahar,12,1,50,39,16.66,29,172.41,0,1,4,1,229,278,10,27.8,0
2017,Deepak Chahar,3,0,14,14,14,6,233.33,0,0,2,0,42,74,1,74,0
2016,Deepak Chahar,2,0,0,0,0,0,0,0,0,0,1,30,41,0,0,0
2024,Maheesh Theekshana,1,0,0,0,0,0,0,0,0,0,0,24,36,0,0,0
2023,Maheesh Theekshana,13,0,0,0,0,0,0,0,0,0,3,294,392,11,35.64,0
2022,Maheesh Theekshana,9,1,7,7*,7,7,100,0,0,1,0,210,261,12,21.75,1
2022,Mukesh Choudhary,13,1,6,4,6,6,100,0,1,0,3,273,424,16,26.5,1
2024,Mustafizur Rahman,2,0,0,0,0,0,0,0,0,0,0,24,29,4,7.25,1
2023,Mustafizur Rahman,2,1,1,1*,0,1,100,0,0,0,0,42,79,1,79,0
2022,Mustafizur Rahman,8,1,3,3*,0,5,60,0,0,0,1,192,244,8,30.5,0
2021,Mustafizur Rahman,14,5,8,8*,0,14,57.14,0,0,1,1,311,436,14,31.14,0
2018,Mustafizur Rahman,7,1,1,1,1,3,33.33,0,0,0,2,165,230,7,32.85,0
2017,Mustafizur Rahman,1,0,0,0,0,0,0,0,0,0,0,16,34,0,0,0
2016,Mustafizur Rahman,16,0,0,0,0,0,0,0,0,0,2,366,421,17,24.76,0
2022,Prashant Solanki,2,0,0,0,0,0,0,0,0,0,0,36,38,2,19,0
2022,Simarjeet Singh,6,2,7,3*,7,8,87.5,0,0,0,1,108,138,4,34.5,0
2024,Tushar Deshpande,2,0,0,0,0,0,0,0,0,0,0,24,47,0,0,0
2023,Tushar Deshpande,16,1,0,0*,0,1,0,0,0,0,2,341,564,21,26.86,0
2022,Tushar Deshpande,2,0,0,0,0,0,0,0,0,0,1,42,63,1,63,0
2020,Tushar Deshpande,5,1,21,20*,21,12,175,0,2,1,1,102,192,3,64,0
2023,Matheesha Pathirana,12,0,0,0,0,0,0,0,0,0,4,278,371,19,19.53,0
2022,Matheesha Pathirana,2,0,0,0,0,0,0,0,0,0,1,41,52,2,26,0
2024,Rishabh Pant,1,0,18,18,18,13,138.46,0,2,0,1,0,0,0,0,0
2022,Rishabh Pant,14,2,340,44,30.91,224,151.79,0,35,16,8,0,0,0,0,0
2021,Rishabh Pant,16,4,419,58*,34.91,326,128.52,3,42,10,10,0,0,0,0,0
2020,Rishabh Pant,14,3,343,56,31.18,301,113.95,1,31,9,13,0,0,0,0,0
2019,Rishabh Pant,16,3,488,78*,37.53,300,162.66,3,37,27,18,0,0,0,0,0
2018,Rishabh Pant,14,1,684,128*,52.61,394,173.6,5,68,37,4,0,0,0,0,0
2017,Rishabh Pant,14,0,366,97,26.14,221,165.61,2,28,24,8,0,0,0,0,0
2016,Rishabh Pant,10,2,198,69,24.75,152,130.26,1,19,6,3,0,0,0,0,0
2024,David Warner,1,0,29,29,29,21,138.1,0,3,2,1,0,0,0,0,0
2023,David Warner,14,0,516,86,36.86,392,131.63,6,69,10,7,0,0,0,0,0
2022,David Warner,12,3,432,92*,48,287,150.52,5,52,15,6,0,0,0,0,0
2021,David Warner,8,0,195,57,24.37,181,107.73,2,15,6,2,0,0,0,0,0
2020,David Warner,16,2,548,85*,39.14,407,134.64,4,52,14,12,1,2,0,0,0
2019,David Warner,12,2,692,100*,69.2,481,143.86,8,57,21,2,0,0,0,0,0
2017,David Warner,14,3,641,126,58.27,452,141.81,4,63,26,10,0,0,0,0,0
2016,David Warner,17,3,848,93*,60.57,560,151.42,9,88,31,4,0,0,0,0,0
2015,David Warner,14,1,562,91,43.23,359,156.54,7,65,21,8,0,0,0,0,0
2014,David Warner,14,3,528,90,48,375,140.8,6,39,24,8,0,0,0,0,0
2013,David Warner,16,3,410,77,31.53,323,126.93,4,41,14,6,0,0,0,0,0
2012,David Warner,8,1,256,109*,36.57,156,164.1,1,28,14,1,0,0,0,0,0
2011,David Warner,13,0,324,77,24.92,276,117.39,3,34,11,4,0,0,0,0,0
2010,David Warner,11,1,282,107*,28.2,191,147.64,1,27,14,8,0,0,0,0,0
2009,David Warner,7,0,163,51,23.29,132,123.48,1,16,5,0,0,0,0,0,0
2023,Prithvi Shaw,8,0,106,54,13.25,85,124.71,1,16,1,1,0,0,0,0,0
2022,Prithvi Shaw,10,0,283,61,28.3,185,152.97,2,37,10,4,0,0,0,0,0
2021,Prithvi Shaw,15,0,479,82,31.93,301,159.13,4,56,18,1,0,0,0,0,0
2020,Prithvi Shaw,13,0,228,66,17.53,167,136.52,2,27,8,4,0,0,0,0,0
2019,Prithvi Shaw,16,0,353,99,22.06,264,133.71,2,45,9,2,0,0,0,0,0
2018,Prithvi Shaw,9,0,245,65,27.22,160,153.12,2,27,10,4,0,0,0,0,0
2023,Yash Dhull,4,0,16,13,5.33,23,69.57,0,1,0,2,0,0,0,0,0
2024,Shai Hope,1,0,33,33,33,25,132,0,2,2,0,0,0,0,0,0
No stats,Swastik Chhikara,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Abishek Porel,1,1,32,32*,0,10,320,0,4,2,0,0,0,0,0,0
2023,Abishek Porel,4,0,33,20,8.25,31,106.45,0,1,2,4,0,0,0,0,0
No stats,Harry Brook,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Ricky Bhui,1,0,3,3,3,7,42.86,0,0,0,0,0,0,0,0,0
2019,Ricky Bhui,1,0,7,7,7,12,58.33,0,0,0,0,0,0,0,0,0
2018,Ricky Bhui,1,0,0,0*,0,5,0,0,0,0,0,0,0,0,0,0
No stats,Kumar Kushagra,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Tristan Stubbs,1,0,5,5,5,8,62.5,0,0,0,0,0,0,0,0,0
2023,Tristan Stubbs,2,0,25,20,12.5,31,80.65,0,2,0,0,12,14,1,14,0
2022,Tristan Stubbs,2,0,2,2,1,4,50,0,0,0,0,0,0,0,0,0
2024,Axar Patel,1,0,21,21,21,13,161.54,0,2,1,0,24,25,0,0,0
2023,Axar Patel,14,3,283,54,28.3,203,139.41,1,21,15,7,282,338,11,30.73,0
2022,Axar Patel,13,6,182,42*,45.5,120,151.67,0,12,10,8,258,321,6,53.5,0
2021,Axar Patel,12,1,40,12,8,46,86.95,0,2,1,4,276,306,15,20.4,0
2020,Axar Patel,15,1,117,42,14.62,85,137.64,0,6,8,6,306,327,9,36.33,0
2019,Axar Patel,14,6,110,26,18.33,88,125,0,10,3,9,306,364,10,36.4,0
2018,Axar Patel,9,2,80,19,13.33,69,115.94,0,3,4,2,156,218,3,72.66,0
2017,Axar Patel,14,5,227,44,28.37,162,140.12,0,11,11,7,288,362,15,24.13,0
2016,Axar Patel,14,3,111,36*,15.85,77,144.15,0,4,8,2,287,388,13,29.84,1
2015,Axar Patel,14,3,206,40*,22.88,174,118.39,0,13,8,7,280,392,13,30.15,0
2014,Axar Patel,17,2,62,42*,10.33,60,103.33,0,6,1,7,396,405,17,23.82,0
2023,Lalit Yadav,6,1,66,38,13.2,59,111.86,0,8,0,5,78,118,2,59,0
2022,Lalit Yadav,12,1,161,48*,23,146,110.27,0,11,7,6,108,150,4,37.5,0
2021,Lalit Yadav,7,3,68,22*,34,73,93.15,0,7,0,5,84,101,4,25.25,0
2024,Mitchell Marsh,1,0,20,20,20,12,166.67,0,2,2,0,24,52,0,0,0
2023,Mitchell Marsh,9,0,128,63,14.22,97,131.96,1,11,7,3,121,170,12,14.17,1
2022,Mitchell Marsh,8,0,251,89,31.38,189,132.8,2,19,14,0,72,102,4,25.5,0
2020,Mitchell Marsh,1,0,0,0*,0,1,0,0,0,0,0,4,6,0,0,0
2016,Mitchell Marsh,3,0,7,7,7,11,63.63,0,0,0,0,54,45,4,11.25,0
2013,Mitchell Marsh,9,1,141,38,20.14,106,132.07,0,6,10,7,116,182,7,26,0
2011,Mitchell Marsh,5,1,50,37,25,49,102.04,0,2,3,0,85,99,7,14.14,1
2010,Mitchell Marsh,3,0,28,15,14,30,93.33,0,1,1,0,60,88,2,44,0
2024,Sumit Kumar,1,0,2,2,2,9,22.22,0,0,0,0,8,19,0,0,0
2023,Pravin Dubey,1,0,16,16,16,20,80,0,2,0,0,18,19,1,19,0
2020,Pravin Dubey,3,1,7,7*,0,13,53.84,0,0,0,1,48,72,0,0,0
No stats,Vicky Ostwal,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Anrich Nortje,10,4,37,23*,12.33,29,127.59,0,6,0,2,240,364,10,36.4,0
2022,Anrich Nortje,6,1,1,1*,0,6,16.67,0,0,0,2,134,217,9,24.11,0
2021,Anrich Nortje,8,0,0,0,0,0,0,0,0,0,1,182,187,12,15.58,0
2020,Anrich Nortje,16,4,7,3*,7,6,116.66,0,0,0,4,366,512,22,23.27,0
2024,Kuldeep Yadav,1,0,1,1,1,2,50,0,0,0,0,24,20,2,10,0
2023,Kuldeep Yadav,14,8,31,10*,15.5,48,64.58,0,2,0,2,294,361,10,36.1,0
2022,Kuldeep Yadav,14,6,48,16*,48,52,92.31,0,3,2,5,298,419,21,19.95,2
2020,Kuldeep Yadav,5,1,13,12,13,21,61.9,0,1,0,0,72,92,1,92,0
2019,Kuldeep Yadav,9,2,12,10*,6,8,150,0,1,0,3,198,286,4,71.5,0
2018,Kuldeep Yadav,16,2,12,7*,12,24,50,0,1,0,6,308,418,17,24.58,1
2017,Kuldeep Yadav,12,0,20,16,10,22,90.9,0,2,0,1,246,340,12,28.33,0
2016,Kuldeep Yadav,3,0,0,0,0,0,0,0,0,0,1,72,100,6,16.66,0
No stats,Jake Fraser-McGurk,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Khaleel Ahmed,1,0,0,0,0,0,0,0,0,0,0,24,43,2,21.5,0
2023,Khaleel Ahmed,9,0,0,0,0,0,0,0,0,0,2,198,301,9,33.44,0
2022,Khaleel Ahmed,10,0,0,0,0,2,0,0,0,0,0,235,315,16,19.69,0
2021,Khaleel Ahmed,7,0,1,1,1,2,50,0,0,0,0,162,219,5,43.8,0
2020,Khaleel Ahmed,7,0,0,0*,0,2,0,0,0,0,1,154,242,8,30.25,0
2019,Khaleel Ahmed,9,0,0,0*,0,1,0,0,0,0,0,209,287,19,15.1,0
2018,Khaleel Ahmed,1,0,0,0,0,0,0,0,0,0,0,18,38,0,0,0
2024,Ishant Sharma,1,0,0,0,0,0,0,0,0,0,0,12,16,1,16,0
2023,Ishant Sharma,8,1,1,1*,0,1,100,0,0,0,0,150,206,10,20.6,0
2019,Ishant Sharma,13,3,10,10*,0,3,333.33,0,1,1,1,276,349,13,26.84,0
2017,Ishant Sharma,6,1,8,5*,4,12,66.66,0,1,0,0,108,179,0,0,0
2011,Ishant Sharma,12,5,4,1*,0,5,80,0,0,0,3,264,314,11,28.54,0
2010,Ishant Sharma,7,1,6,6*,6,17,35.29,0,0,0,1,150,236,7,33.71,0
2009,Ishant Sharma,11,1,16,9,8,13,123.07,0,1,1,2,258,297,11,27,0
2008,Ishant Sharma,13,5,11,4*,11,11,100,0,1,0,2,259,331,8,41.37,0
2021,Ishant Sharma,3,0,0,0,0,0,0,0,0,0,0,72,97,1,97,0
2020,Ishant Sharma,1,0,0,0,0,0,0,0,0,0,0,18,26,0,0,0
2016,Ishant Sharma,4,0,0,0,0,0,0,0,0,0,0,90,148,3,49.33,0
2015,Ishant Sharma,4,0,0,0,0,0,0,0,0,0,0,84,159,1,159,0
2014,Ishant Sharma,3,0,0,0,0,0,0,0,0,0,0,66,101,3,33.66,0
2013,Ishant Sharma,16,0,0,0,0,0,0,0,0,0,0,358,466,15,31.06,0
2021,Jhye Richardson,3,0,15,15,7.5,24,62.5,0,2,0,1,66,117,3,39,0
2023,Mukesh Kumar,10,3,7,6*,0,9,77.78,0,0,0,3,186,326,7,46.57,0
2022,Rasikh Dar,2,0,7,7,7,6,116.67,0,1,0,0,24,28,0,0,0
2019,Rasikh Dar,1,1,5,5*,0,4,125,0,0,0,1,24,42,0,0,0
2024,Shubman Gill,1,0,31,31,31,22,140.91,0,3,1,0,0,0,0,0,0
2023,Shubman Gill,17,2,890,129,59.33,564,157.8,4,85,33,6,0,0,0,0,0
2022,Shubman Gill,16,2,483,96,34.5,365,132.33,4,51,11,7,0,0,0,0,0
2021,Shubman Gill,17,0,478,57,28.11,402,118.9,3,50,12,6,0,0,0,0,0
2020,Shubman Gill,14,1,440,70*,33.84,373,117.96,3,44,9,7,0,0,0,0,0
2019,Shubman Gill,14,4,296,76,32.88,238,124.36,3,21,10,7,0,0,0,0,0
2018,Shubman Gill,13,5,203,57*,33.83,139,146.04,1,22,5,3,0,0,0,0,0
2024,David Miller,1,0,12,12,12,11,109.09,0,1,0,1,0,0,0,0,0
2023,David Miller,16,5,259,46,32.38,178,145.51,0,18,13,11,0,0,0,0,0
2022,David Miller,16,9,481,94*,68.71,337,142.73,2,32,23,6,0,0,0,0,0
2021,David Miller,9,3,124,62,24.8,113,109.73,1,11,3,4,0,0,0,0,0
2020,David Miller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,David Miller,10,2,213,59*,26.62,164,129.87,1,19,7,7,0,0,0,0,0
2018,David Miller,3,1,74,26,37,64,115.62,0,3,2,0,0,0,0,0,0
2017,David Miller,5,1,83,30*,27.66,80,103.75,0,4,4,2,0,0,0,0,0
2016,David Miller,14,3,161,31,16.1,131,122.9,0,11,4,10,0,0,0,0,0
2015,David Miller,13,2,357,89*,32.45,266,134.21,2,21,21,7,0,0,0,0,0
2014,David Miller,16,6,446,66,44.6,299,149.16,3,34,21,14,0,0,0,0,0
2013,David Miller,12,5,418,101*,59.71,254,164.56,3,28,24,8,0,0,0,0,0
2012,David Miller,6,3,98,34*,32.66,75,130.66,0,6,4,1,0,0,0,0,0
2022,Matthew Wade,10,0,157,35,15.7,138,113.77,0,23,2,7,0,0,0,0,0
2011,Matthew Wade,3,0,22,11,7.33,33,66.66,0,0,0,0,0,0,0,0,0
2024,Wriddhiman Saha,1,0,19,19,19,15,126.67,0,4,0,2,0,0,0,0,0
2023,Wriddhiman Saha,17,1,371,81,23.19,287,129.27,2,47,8,9,0,0,0,0,0
2022,Wriddhiman Saha,11,1,317,68,31.7,259,122.39,3,40,7,11,0,0,0,0,0
2021,Wriddhiman Saha,9,0,131,44,14.55,140,93.57,0,7,5,6,0,0,0,0,0
2020,Wriddhiman Saha,4,1,214,87,71.33,153,139.86,2,24,5,2,0,0,0,0,0
2019,Wriddhiman Saha,5,0,86,28,17.2,53,162.26,0,13,1,4,0,0,0,0,0
2018,Wriddhiman Saha,11,2,122,35,15.25,102,119.6,0,17,1,5,0,0,0,0,0
2017,Wriddhiman Saha,14,1,234,93*,23.4,187,125.13,1,20,8,10,0,0,0,0,0
2016,Wriddhiman Saha,12,1,270,56,24.54,212,127.35,2,29,1,7,0,0,0,0,0
2015,Wriddhiman Saha,14,0,249,42,19.15,197,126.39,0,16,10,11,0,0,0,0,0
2014,Wriddhiman Saha,17,2,362,115*,32.9,249,145.38,2,33,18,8,0,0,0,0,0
2013,Wriddhiman Saha,3,0,70,39,23.33,56,125,0,6,4,0,0,0,0,0,0
2012,Wriddhiman Saha,4,0,6,6,6,14,42.85,0,0,0,0,0,0,0,0,0
2011,Wriddhiman Saha,7,2,68,46*,68,63,107.93,0,2,4,2,0,0,0,0,0
2010,Wriddhiman Saha,13,4,67,22,22.33,53,126.41,0,9,1,3,0,0,0,0,0
2009,Wriddhiman Saha,8,4,72,25*,24,41,175.6,0,3,4,2,0,0,0,0,0
2008,Wriddhiman Saha,12,5,159,59*,31.8,119,133.61,1,12,7,8,0,0,0,0,0
No stats,BR Sharath,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Robin Minz,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Kane Williamson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kane Williamson,13,2,216,57,19.64,231,93.51,1,16,8,10,0,0,0,0,0
2021,Kane Williamson,10,4,266,66*,44.33,235,113.19,2,29,2,7,0,0,0,0,0
2020,Kane Williamson,12,4,317,67,45.28,237,133.75,3,26,10,6,12,24,0,0,0
2019,Kane Williamson,9,2,156,70*,22.28,130,120,1,12,5,2,0,0,0,0,0
2018,Kane Williamson,17,3,735,84,52.5,516,142.44,8,64,28,6,0,0,0,0,0
2017,Kane Williamson,7,1,256,89,42.66,169,151.47,2,20,10,1,0,0,0,0,0
2016,Kane Williamson,6,0,124,50,20.66,122,101.63,1,14,0,5,6,7,0,0,0
2015,Kane Williamson,2,1,31,26*,31,27,114.81,0,1,1,2,0,0,0,0,0
2023,Abhinav Manohar,9,0,114,42,19,83,137.35,0,6,7,4,0,0,0,0,0
2022,Abhinav Manohar,8,1,108,43,18,75,144,0,14,3,4,0,0,0,0,0
2024,B. Sai Sudharsan,1,0,45,45,45,39,115.38,0,3,1,0,0,0,0,0,0
2023,B. Sai Sudharsan,8,1,362,96,51.71,256,141.41,3,33,12,2,0,0,0,0,0
2022,B. Sai Sudharsan,5,1,145,65*,36.25,114,127.19,1,14,3,1,0,0,0,0,0
2023,Darshan Nalkande,1,0,0,0,0,1,0,0,0,0,0,24,44,1,44,0
2022,Darshan Nalkande,2,0,0,0,0,0,0,0,0,0,0,31,59,2,29.5,0
2024,Vijay Shankar,1,1,6,6*,0,5,120,0,0,0,0,0,0,0,0,0
2023,Vijay Shankar,14,2,301,63*,37.63,188,160.11,3,27,15,2,0,0,0,0,0
2022,Vijay Shankar,4,0,19,13,4.75,35,54.29,0,1,0,3,9,15,0,0,0
2021,Vijay Shankar,7,0,58,28,11.6,52,111.53,0,1,3,3,66,100,3,33.33,0
2020,Vijay Shankar,7,1,97,52*,24.25,96,101.04,1,10,1,1,79,82,4,20.5,0
